assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,yellow_cards,player_name_id_x,position,date,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup,team_name,conceded,h_a,xG_team,xGA,npxG_team,npxGA,scored,missed,pts,npxGD,conceded_team,rolling_team_pts,diff_team_xG,diff_team_xGA,diff_team_scored,diff_team_missed,diff_team_conceded,diff_team_pts,attack_overall,defence_overall,attack_difficulty,defence_difficulty,opposition_attack_difficulty,opposition_defence_difficulty
0.0,0.0,0.0,2.0,1.0,90.0,Newcastle United,0.0,0.0,0.0,0.0,1,0.0,7.0,0.0,Aaron_Cresswell_411,def,2021-08-15,2.0,0.0829749777913093,0.0379090309143066,1.0,1.0,0.0829749777913093,0.544756293296814,0.4998027682304382,West Ham,2.0,a,3.00939,1.67926,2.09241,1.67926,4.0,2.0,3.0,0.4131500000000001,2.0,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,0.0,90.0,Leicester,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,Aaron_Cresswell_411,def,2021-08-23,1.0,0.049393743276596,0.0,0.0,0.0,0.049393743276596,0.2237981259822845,0.2237981259822845,West Ham,1.0,h,2.28613,0.62676,2.28613,0.62676,4.0,1.0,3.0,1.65937,1.0,,,,,,,,,,,,,
1.0,1.0,0.0,2.0,0.0,90.0,Crystal Palace,0.0,0.0,0.0,0.0,3,0.0,5.0,0.0,Aaron_Cresswell_411,def,2021-08-28,0.0,0.0,0.0925390198826789,1.0,0.0,0.0,0.307551771402359,0.2150127589702606,West Ham,2.0,h,1.44748,1.67658,1.44748,1.67658,2.0,2.0,1.0,-0.2290999999999998,2.0,,,,,,,,,,,,,
0.0,2.0,1.0,0.0,0.0,90.0,Southampton,0.0,0.0,0.0,0.0,4,0.0,8.0,0.0,Aaron_Cresswell_411,def,2021-09-11,2.0,0.0979692339897155,0.0247128531336784,2.0,0.0,0.0979692339897155,0.1641210168600082,0.1394081711769104,West Ham,0.0,a,0.725407,0.692135,0.725407,0.692135,0.0,0.0,1.0,0.033272,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,2.0,0.0,90.0,Manchester United,0.0,0.0,0.0,0.0,5,0.0,1.0,0.0,Aaron_Cresswell_411,def,2021-09-19,0.0,0.0,0.1119721233844757,2.0,0.0,0.0,0.2815675437450409,0.1695954352617263,West Ham,2.0,h,1.6671,1.8954,0.905935,1.8954,1.0,2.0,0.0,-0.989465,2.0,1.6,,,,,,,2.6271014000000004,2.7140269999999997,4,3,5.0,4.0
0.0,0.0,0.0,1.0,0.0,90.0,Leeds,0.0,0.0,0.0,0.0,6,0.0,2.0,0.0,Aaron_Cresswell_411,def,2021-09-25,2.0,0.072747141122818,0.0813135504722595,2.0,0.0,0.072747141122818,0.1250922828912735,0.0267884414643049,West Ham,1.0,a,1.98962,1.1967,1.98962,1.1967,2.0,1.0,3.0,0.7929199999999998,1.0,1.6,-0.2039540000000002,-0.09651199999999993,-0.40000000000000013,-0.19999999999999996,-0.19999999999999996,0.0,2.2231474,2.417515,4,3,2.0,1.0
0.0,0.0,0.0,2.0,0.0,90.0,Brentford,0.0,0.0,0.0,0.0,7,0.0,1.0,0.0,Aaron_Cresswell_411,def,2021-10-03,0.0,0.0,0.1792794466018676,3.0,0.0,0.0,0.2609925270080566,0.1892905384302139,West Ham,2.0,h,1.37258,1.30098,1.37258,1.30098,1.0,2.0,0.0,0.0715999999999998,2.0,1.0,-0.18270999999999993,0.13484399999999996,-0.6000000000000001,0.19999999999999996,0.19999999999999996,-0.6000000000000001,1.2404373999999998,2.7523589999999998,3,3,4.0,4.0
0.0,1.0,1.0,0.0,0.0,90.0,Everton,0.0,0.0,0.0,0.0,8,0.0,7.0,0.0,Aaron_Cresswell_411,def,2021-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0443148016929626,0.0443148016929626,West Ham,0.0,a,2.03034,0.854165,2.03034,0.854165,1.0,0.0,3.0,1.1761749999999995,0.0,1.4,0.1165719999999999,-0.16448299999999993,-0.19999999999999996,-0.3999999999999999,-0.3999999999999999,0.3999999999999999,1.5570094,2.187876,3,4,3.0,3.0
1.0,3.0,1.0,0.0,0.0,90.0,Tottenham,0.0,0.0,0.0,0.0,9,0.0,12.0,0.0,Aaron_Cresswell_411,def,2021-10-24,0.0,0.0,0.5045674443244934,1.0,0.0,0.0,0.8275787234306335,0.8275787234306335,West Ham,0.0,h,1.73468,0.672198,1.73468,0.672198,1.0,0.0,3.0,1.062482,0.0,1.8,0.20185459999999988,-0.003987399999999974,0.19999999999999996,0.0,0.0,0.40000000000000013,1.9588639999999997,2.1838886,4,5,1.0,2.0
0.0,0.0,0.0,1.0,0.0,90.0,Aston Villa,0.0,0.0,0.0,0.0,10,0.0,2.0,0.0,Aaron_Cresswell_411,def,2021-10-31,1.0,0.084539383649826,0.0545181110501289,2.0,0.0,0.084539383649826,1.0472943782806396,1.0472943782806396,West Ham,1.0,a,2.66391,0.687551,2.66391,0.687551,4.0,1.0,3.0,1.976359,1.0,2.4,0.19936200000000048,-0.24156979999999995,0.6000000000000001,-0.19999999999999996,-0.19999999999999996,0.5999999999999999,2.9582260000000007,1.7423188,5,5,1.0,1.0
