Player,Team,Position,Points,Cost
Alisson,Liverpool,Goalkeeper,20,£5.50
Ederson,Man City,Goalkeeper,23,£5.50
Lloris,Spurs,Goalkeeper,25,£5.50
Pope,Newcastle,Goalkeeper,36,£5.10
Schmeichel,Leicester,Goalkeeper,0,£5.00
Fabianski,West Ham,Goalkeeper,18,£5.00
Sá,Wolves,Goalkeeper,35,£5.00
Ramsdale,Arsenal,Goalkeeper,19,£4.90
Martínez,Aston Villa,Goalkeeper,22,£4.90
Mendy,Chelsea,Goalkeeper,17,£4.90
De Gea,Man Utd,Goalkeeper,21,£4.90
Sánchez,Brighton,Goalkeeper,28,£4.70
Henderson,Nott'm Forest,Goalkeeper,31,£4.70
Leno,Fulham,Goalkeeper,10,£4.50
Travers,Bournemouth,Goalkeeper,8,£4.50
Raya,Brentford,Goalkeeper,23,£4.50
Guaita,Crystal Palace,Goalkeeper,15,£4.50
Pickford,Everton,Goalkeeper,25,£4.50
Meslier,Leeds,Goalkeeper,17,£4.50
Samba,Nott'm Forest,Goalkeeper,0,£4.50
Bazunu,Southampton,Goalkeeper,13,£4.50
Neto,Bournemouth,Goalkeeper,6,£4.50
Arrizabalaga,Chelsea,Goalkeeper,0,£4.40
Butland,Crystal Palace,Goalkeeper,0,£4.40
Johnstone,Crystal Palace,Goalkeeper,0,£4.40
Rodák,Fulham,Goalkeeper,7,£4.40
McCarthy,Southampton,Goalkeeper,0,£4.40
Areola,West Ham,Goalkeeper,1,£4.40
Strakosha,Brentford,Goalkeeper,0,£4.40
Dubravka,Man Utd,Goalkeeper,0,£4.30
Olsen,Aston Villa,Goalkeeper,0,£4.00
Dennis,Bournemouth,Goalkeeper,0,£4.00
Balcombe,Brentford,Goalkeeper,0,£4.00
Steele,Brighton,Goalkeeper,0,£4.00
Begovi?,Everton,Goalkeeper,0,£4.00
Gazzaniga,Fulham,Goalkeeper,0,£4.00
Klaesson,Leeds,Goalkeeper,0,£4.00
Ward,Leicester,Goalkeeper,8,£4.00
Kelleher,Liverpool,Goalkeeper,0,£4.00
Steffen,Man City,Goalkeeper,0,£4.00
Heaton,Man Utd,Goalkeeper,0,£4.00
Darlow,Newcastle,Goalkeeper,0,£4.00
Lis,Southampton,Goalkeeper,0,£4.00
Caballero,Southampton,Goalkeeper,0,£4.00
Forster,Spurs,Goalkeeper,0,£4.00
Austin,Spurs,Goalkeeper,0,£4.00
Šarki?,Wolves,Goalkeeper,0,£4.00
Matthews,Crystal Palace,Goalkeeper,0,£4.00
Adrián,Liverpool,Goalkeeper,0,£4.00
Hennessey,Nott'm Forest,Goalkeeper,0,£4.00
Scherpen,Brighton,Goalkeeper,0,£4.00
Smith,Wolves,Goalkeeper,0,£4.00
Randolph,West Ham,Goalkeeper,0,£4.00
Robles,Leeds,Goalkeeper,0,£4.00
Smithies,Leicester,Goalkeeper,0,£4.00
